 06.06 WIB ,goal.com/id/berita/manchester-united-real-madrid-hingga-juventus-ini-pengumuman/1dti4yl151lwc13rg60ooj88fu,https://images.daznservices.com/di/library/GOAL/ad/1b/super-league-split_lr8nq7kw8z7s1210qbd8nu6dj.png?t=-336230856&quality=60&w=55,"'Big Six' Inggris, Real Madrid, Juventus Sepakat Bentuk Liga Super",https://www.goal.com/id
 06.58 WIB ,goal.com/id/berita/kurangi-poin-tim-yang-ikut-gary-neville-kecam-proposal-liga/bplz54r9nmn01c4px6adzob9n,https://images.daznservices.com/di/library/GOAL/bc/4c/gary-neville-2020_chi1yxvztwos11jcxwssxg5e0.jpg?t=-110912432&quality=60&w=55,“Kurangi Poin Tim Yang Ikut!” - Neville Kecam Proposal Liga Super Eropa,https://www.goal.com/id
 03.42 WIB ,goal.com/id/berita/napoli-1-1-inter-milan-hasil-imbang-tak-pengaruhi-tahta-inter-di-/s0oqnu2urg1p1gv132ldh7ucw,https://images.daznservices.com/di/library/GOAL/e4/bb/christian-eriksen-celebrating-napoli-inter_16llwho2hqo121qrsixzh5rqm3.jpg?t=-352002920&quality=60&w=55,Imbang Kontra Napoli Tak Pengaruhi Takhta Inter Di Puncak,https://www.goal.com/id
 04.06 WIB ,goal.com/id/berita/getafe-vs-real-madrid-seru-tapi-buntu-poin-los-blancos-cuma/ha2veqlije0u19ve08n285uw9,https://images.daznservices.com/di/library/GOAL/4c/26/real-madrid-isco-marcelo-getafe_vwp01sptuz7c1u0sc76491m2f.jpg?t=-359652760&quality=60&w=55,"Seru Tapi Buntu, Poin Real Madrid Cuma Tambah Satu",https://www.goal.com/id
 03.07 WIB ,goal.com/id/berita/southampton-leicester-city-tantang-chelsea-di-final-piala-fa/1pe8mmmn26tzy12gd1r08v045s,https://images.daznservices.com/di/library/GOAL/59/42/jamie-vardy-jan-bednarek-leicester-southampton-2021_j5llj3o5t8mp1aelj92abog1q.jpg?t=-365772376&quality=60&w=55,Leicester Tantang Chelsea Di Final Piala FA,https://www.goal.com/id
 00.07 WIB ,goal.com/id/berita/manchester-united-burnley-mason-greenwood/19lucvbmexody15ncmpe8ihc5s,https://images.daznservices.com/di/library/GOAL/e6/3d/mason-greenwood-manchester-united-2021_xig80atxljqb1wwzm7ywbe1ui.jpg?t=-377244376&quality=60&w=55,"Greenwood Gemilang, United Kikis Jarak Dari City",https://www.goal.com/id
 23.42 WIB ,goal.com/id/berita/atletico-madrid-5-0-eibar-los-rojiblancos-perlebar-jarak/1siael0bn8w81pkn59f7nhj9h,https://images.daznservices.com/di/library/GOAL/4f/24/atletico-de-madrid_1b781xser2h4y1qjdulnxmangp.jpg?t=-388480824&quality=60&w=55,"Bantai Eibar, Atletico Madrid Perlebar Jarak Dari Real Madrid",https://www.goal.com/id
 21.55 WIB ,goal.com/id/berita/atalanta-juventus-serie-a/ixm16n0qth3z17jtfedrdigys,https://images.daznservices.com/di/library/GOAL/8/ce/malinovskyi-celebrating-atalanta-juventus-serie-a_17do4b0u3sqdg1gdhwliretl2z.jpg?t=-390962408&quality=60&w=55,Atalanta Lempar Juventus Dari Tiga Besar,https://www.goal.com/id
 23.11 WIB ,goal.com/id/berita/singkirkan-psm-makassar-lewat-adu-penalti-persija-jakarta/89y8oasnmtoz1nbem3ke77h1q,https://images.daznservices.com/di/library/GOAL/66/b1/persija-jakarta_1jkf8pq8iptd51no2b5cn28gdv.jpg?t=-365604760&quality=60&w=55,"Singkirkan PSM Lewat Adu Penalti, Persija Lolos Ke Final",https://www.goal.com/id
 21.43 WIB ,goal.com/id/berita/arsenal-1-1-fulham-gol-telat-eddie-nketiah-selamatkan-the/wjpxl56q2qjn1ivqj30mgarv0,https://images.daznservices.com/di/library/GOAL/75/c1/josh-maja-penalty-arsenal-vs-fulham_1kbzsgreiiq3n1otvcdaeqvsul.jpg?t=-398698792&quality=60&w=55,Gol Telat Nketiah Selamatkan Arsenal Dari Kekalahan,https://www.goal.com/id
